audio_file,transcription
audio/281474976883989_f3285_chunk_1.wav,"Actually, I have not used Netflix, but I have used Prime videos."
audio/281474976883989_f3285_chunk_2.wav,"And if we are to compare it with traditional cable TV or satellite TV,"
audio/281474976883989_f3285_chunk_3.wav,then the experience here is quite unique because here you don't have to wait for the ads. You can watch movies continuously without interruption from ads.
audio/281474976883989_f3285_chunk_4.wav,And you don't have to wait and watch what the cable TV will show to us.
audio/281474976883989_f3285_chunk_5.wav,We can watch movies of our interest directly by searching them.
audio/281474976883991_f2291_chunk_0.wav,There are committees especially set up to handle these kind of issues like there is one separate committee for to
audio/281474976883991_f2291_chunk_1.wav,handle codes of conduct and there is one to investigate into Corruption into selections and one is I think
audio/281474976883991_f2291_chunk_2.wav,set up to look into the corruptions by bureaucrats
audio/281474976883993_f2221_chunk_0.wav,people express their faith in this religion by doing daily prayers and
audio/281474976883993_f2221_chunk_1.wav,the traditions that are being continued for the decades and by gathering annually and monthly
audio/281474976883993_f2221_chunk_2.wav,to fellow religion members and exchange the information or new knowledge that they have gathered during that period
audio/281474976883993_f2221_chunk_3.wav,or any new such belief or encounter if they encounter any new tradition about religion then they discuss that.
audio/281474976883994_f3251_chunk_0.wav,The main beliefs and teachings of this religion
audio/281474976883994_f3251_chunk_1.wav,include 4 to 5 themes
audio/281474976883994_f3251_chunk_2.wav,The first is to have belief in one and true God
audio/281474976883994_f3251_chunk_3.wav,The other is that do not harm any human being
audio/281474976883994_f3251_chunk_4.wav,And the third is never speak ill of anybody and do not make presumptions about them because everybody may have different conditions when they performed certain activity or certain task
audio/281474976883994_f3251_chunk_5.wav,And the other thing is to never lie under oath
audio/281474976883994_f3251_chunk_6.wav,and to feed hungry
audio/281474976883995_f3192_chunk_0.wav,So let's first talk about the challenges and then we will talk about the opportunities of my district
audio/281474976883995_f3192_chunk_1.wav,The main challenges are mainly economic and social because the environment here is very good.
audio/281474976883995_f3192_chunk_2.wav,So the Economics part The thing is that most of the people here depend on agriculture. So and they mainly depend on cash crops
audio/281474976883995_f3192_chunk_3.wav,"so If the season is tough or the rain does not come good or if there is any paste problem, etc then the whole district is under burden"
audio/281474976883995_f3192_chunk_4.wav,because the Crops have not have not been good and then the farmers will have to suffer
audio/281474976883995_f3192_chunk_5.wav,and the social is like disconnect between upper class and lower class
audio/281474976883995_f3192_chunk_6.wav,"and The opportunities that here are the education is growing. So there there are certain younger people who are taking up agriculture also and Taking other government jobs, etc."
audio/281474976883996_f2180_chunk_0.wav,"There are many good schools, colleges and universities here in my district. The vocational training centers are non-existent here"
audio/281474976883996_f2180_chunk_1.wav,"There no as far as I know, there is no vocational training center here"
audio/281474976883996_f2180_chunk_2.wav,Because most of the colleges and universities and even schools also They focus education on job-oriented courses only
audio/281474976883996_f2180_chunk_3.wav,"Even from young age,like, students from standard 8, 9 are also taught how they will get job or how they will set up business"
audio/281474976883996_f2180_chunk_4.wav,So there is more focus on job-oriented courses and less on personality development courses and language courses
audio/281474976883998_f2011_chunk_0.wav,"There are so many unique features in English language, if we are to talk strictly about grammar and punctuation"
audio/281474976883998_f2011_chunk_1.wav,Then there are many features that make grammar of English language unique
audio/281474976883998_f2011_chunk_2.wav,"For example, in English there is only singular and plural Whereas in Sanskrit and Arabic there is singular, plural and for two members also"
audio/281474976883998_f2011_chunk_3.wav,So the other thing that makes English grammar unique is that most of the rules are very well structured
audio/281474976883998_f2011_chunk_4.wav,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well
audio/281474976883998_f2011_chunk_5.wav,So that makes grammar more reliable and easy to follow
audio/281474976883999_f1277_chunk_0.wav,"According to various reports, around 700 thousand students are due to take the exams, whose results are expected to be declared a month later from July 22"
audio/281474976884000_f1279_chunk_0.wav,He has acted in over 350 Hindi films.
audio/281474976884004_f614_chunk_0.wav,can you turn down the volume please and tell me what is the title of this song
audio/281474976884005_f895_chunk_0.wav,searching on holidays in my location
audio/281474976884011_f1281_chunk_0.wav,Can you delete Mortein Cockroach Killer Spray from my cart and replace it with 2000 GM Tata Coffee Grand Filter Coffee
audio/281474976884012_f465_chunk_0.wav,Can I buy Campure Mini Camphor Sticks worth 100 rupees?
audio/281474976884014_f1282_chunk_0.wav,Change my default card for tap and pay method from Bank of Maharashtra Credit card to India Post Payments Bank Credit card
audio/281474976884016_f1283_chunk_0.wav,Can you transfer Rs. 400 to my 6844663153262 in IndusInd Bank fortnightly via PayUmoney and give me an alert in case the balance goes below that?
audio/281474976884019_f1284_chunk_0.wav,Which all vaccination centres have Sputnik this vaccine?
audio/281474976884022_f1285_chunk_0.wav,Please enter your MPIN to finish your vaccine registration for mobile number 61592106157
audio/281474976884025_f1286_chunk_0.wav,Forward
audio/281474976884032_f1732_chunk_0.wav,92 310 784 1098 3095
audio/281474976884033_f1918_chunk_1.wav,"as the story developed, which is set in the time of the English Civil War in the 17th century, it became really very interesting and also described not only the culture and the social mores of the period, but also developed into a very good storyline."
audio/281474976884033_f1918_chunk_2.wav,"And by the end of the book, I was totally engrossed in it and enjoyed the entire experience."
audio/281474976884038_f1782_chunk_0.wav,Gujarat is very well known for its lively and rich cultural heritage and it celebrates almost all the festivals which are celebrated in the rest of India. Along with them there are many other festivals which are unique to Gujarat
audio/281474976884039_f1853_chunk_2.wav,"and although there is a lot of intermixing going on in the last few years, but still in, I would say in the remote interior areas, this may not be the case."
audio/281474976884039_f1853_chunk_3.wav,"So that would be one norm which I can think of. I am not sure whether there are other norms which can be applicable in this scenario or condition. If there are, I am not aware of them."
audio/281474976884042_f2314_chunk_3.wav,And it is one of the leading districts of Gujarat state. I think this would be what I can offer about the history of my district.
audio/281474976884044_f1919_chunk_0.wav,My favorite English TV shows are generally sitcoms
audio/281474976884044_f1919_chunk_1.wav,or late night shows
audio/281474976884044_f1919_chunk_10.wav,Should I say
audio/281474976884044_f1919_chunk_11.wav,fraternity even in the generations which have come after it
audio/281474976884044_f1919_chunk_12.wav,And this I have seen with my own eyes
audio/281474976884044_f1919_chunk_13.wav,Another show which I like a lot is the Big Bang Theory
audio/281474976884044_f1919_chunk_14.wav,which tells about the lives of scientists
audio/281474976884044_f1919_chunk_15.wav,Living in the
audio/281474976884044_f1919_chunk_16.wav,San Francisco Bay Area in the US and how they live their lives in
audio/281474976884044_f1919_chunk_17.wav,very hilarious sort of setups
audio/281474976884044_f1919_chunk_18.wav,and this show was aired in the early 2000s
audio/281474976884044_f1919_chunk_19.wav,and I love it for its humor and also for the fact that it has an Indian character in it too
audio/281474976884044_f1919_chunk_2.wav,from the US
audio/281474976884044_f1919_chunk_20.wav,Another show which I love a lot is the Late Show with Stephen Colbert
audio/281474976884044_f1919_chunk_21.wav,and the most interesting part of the entire show is the monologue
audio/281474976884044_f1919_chunk_22.wav,wherein the host Stephen Colbert details the entire news
audio/281474976884044_f1919_chunk_23.wav,time period immediately
audio/281474976884044_f1919_chunk_24.wav,one or two days prior to the
audio/281474976884044_f1919_chunk_25.wav,airing of the episode
audio/281474976884044_f1919_chunk_26.wav,and makes jokes about it
audio/281474976884044_f1919_chunk_27.wav,Also his interviews with celebrity guests
audio/281474976884044_f1919_chunk_28.wav,so all in all these
audio/281474976884044_f1919_chunk_29.wav,gave a very good
audio/281474976884044_f1919_chunk_3.wav,So I love
audio/281474976884044_f1919_chunk_30.wav,not only mirror to the existing contemporary American society but also
audio/281474976884044_f1919_chunk_31.wav,filled with humor and told in a satirical manner
audio/281474976884044_f1919_chunk_32.wav,and I love that a lot
